Episode Number,Episode Title,Question
38,38: The Smelling in Your Dwelling,Why don't bugs die when we flick them?
38,38: The Smelling in Your Dwelling,Why do we talk the way we do?
38,38: The Smelling in Your Dwelling,What's the deal with dollars in movies?
38,38: The Smelling in Your Dwelling,How much would it cost to buy the world a coke?
39,39: Feelings Are All Right (with Katherine Green),How do I overcome pizza betrayal?
39,39: Feelings Are All Right (with Katherine Green),What's the deal with sesame seeds?
39,39: Feelings Are All Right (with Katherine Green),How do I solve my sibling ball crisis?
39,39: Feelings Are All Right (with Katherine Green),What do I do in Montana?
39,39: Feelings Are All Right (with Katherine Green),How do I deal with my driving anxiety?
40,40: Almost Distressingly Good Advice,"How Canadian am I, really?"
40,40: Almost Distressingly Good Advice,How should I unpack?
40,40: Almost Distressingly Good Advice,How do I reconcile my ideals with my actions?
41,41: In the Absence of Toes,Have we checked in on the bees?
41,41: In the Absence of Toes,What would happen if you lost your big toe?
41,41: In the Absence of Toes,How do you stir hot cocoa efficiently?
42,42: Mayonnaise Malaise,Am I making unethical sandwich decisions?
42,42: Mayonnaise Malaise,Am I a sucker for not cheating in school?
42,42: Mayonnaise Malaise,Do we need drive-thru reform?
42,42: Mayonnaise Malaise,Why do farts smell worse in the shower?
43,43: Gotta Be Kitten,Why do people put up with banana opportunity cost?
43,43: Gotta Be Kitten,How do I deal with bird attacks?
43,43: Gotta Be Kitten,Chemtrails: what's up with them?
44,44: A Life Sandwich,How do I find joy when my main source of it has been taken away?
44,44: A Life Sandwich,"How do I deal with my unfortunate name, which is not Ryan?"
44,44: A Life Sandwich,How do I handle compliments?
44,44: A Life Sandwich,How do I deal with over-the-top laughter?
44,44: A Life Sandwich,How do I deal with the closest thing there is to death?
45,45: Not Knowing,Should I feel guilty about liking Hamilton?
45,45: Not Knowing,Why aren't we talking about our impending death by Yellowstone?
45,45: Not Knowing,Should I be saving all my burrito money for the economic apocalypse?
46,46: Brotherhood 3.0,Where are all the Bob Ross paintings?
46,46: Brotherhood 3.0,Why is a minor injury more painful to me than literal childbirth?
46,46: Brotherhood 3.0,How do I get myself a surprise party?
47,47: You're Gonna Be Okay,How do I mourn a mug?
47,47: You're Gonna Be Okay,What if it had been Vlogsisters instead of Vlogbrothers?
47,47: You're Gonna Be Okay,How do I navigate roommatedom?
48,48: Pizza John Priorities,Is Pizza John inherently unsexy?
48,48: Pizza John Priorities,Should I court familial disaster?
48,48: Pizza John Priorities,Where else can I seek dubious advice?
49,49: Not Not an Adult (w/ Sydney Green!),How do you define adulthood?
49,49: Not Not an Adult (w/ Sydney Green!),Is it slice of pizza or piece of pizza?
49,49: Not Not an Adult (w/ Sydney Green!),How do I reclaim my armrest when I'm in the middle seat?
50,50: Things Are Like Other Things,Why isn't John on Hank's Top 8 on MySpace?
50,50: Things Are Like Other Things,What is the correct way to eat an Oreo?
50,50: Things Are Like Other Things,Is my can opener a sign that I've entered an alternate universe?
51,51: Weird/Bad Dancefighting,What are nerdfighters fighting?
51,51: Weird/Bad Dancefighting,How do I learn to enjoy physical activity?
51,51: Weird/Bad Dancefighting,How do I stop talking about Mars in my sleep?
52,52: We Are in This Together,Will my laptop sterilize me?
52,52: We Are in This Together,Do you like (or write) fanfiction?
52,52: We Are in This Together,Where is the rest of the lizard whose tail I found in my room?
53,53: The Worst Episode Ever,Do fish swim?
53,53: The Worst Episode Ever,Is Hank snapchatting?
53,53: The Worst Episode Ever,How do I stop my earphones from getting tangled?
53,53: The Worst Episode Ever,How do I deal with a job that I hate?
54,54: Nerd Punk,Are bell peppers airtight?
54,54: Nerd Punk,How do I quit smoking?
54,54: Nerd Punk,Why is that new baby smell so good?
55,55: A Proper Dumpster Fire,"Should I sell cold, fresh potty water?"
55,55: A Proper Dumpster Fire,Why don't we write phonetically?
55,55: A Proper Dumpster Fire,Why do I like all this sad stuff?
56,56: Is It Going to Throw Up?,How do I dad?
56,56: Is It Going to Throw Up?,Are expiration dates just suggestions?
56,56: Is It Going to Throw Up?,What do I call the people I work with?
56,56: Is It Going to Throw Up?,Do I really need to get drunk on my twenty-first birthday?
57,57: Og Nomekop,How do I organize someone else's books?
57,57: Og Nomekop,How do I justify the money allocated to extending my life?
57,57: Og Nomekop,How does tug of war work?
58,58: That's the Science (w/ Flula!),Why are there holes in crackers?
58,58: That's the Science (w/ Flula!),What is proper hot tub etiquette?
58,58: That's the Science (w/ Flula!),Can I snapchat politicians about immigration reform?
59,59: Hank's Disaster Preparedness Plan,What is my actual favorite color?
59,59: Hank's Disaster Preparedness Plan,"At what point in the day do I switch to ""have a good night"" as my go-to courtesy?"
59,59: Hank's Disaster Preparedness Plan,What do I do when The Big One hits?
60,60: There Is Almost Always a Future,Where all all the dead birds?
60,60: There Is Almost Always a Future,Should I really live each day of my life like it's my last?
60,60: There Is Almost Always a Future,Am I a fraud for being a social chameleon?
61,61: Tiny Acts of Kindness,How do gas planets work?
61,61: Tiny Acts of Kindness,What is proper door etiquette?
61,61: Tiny Acts of Kindness,Is Hank going to put the lime in the coconut and drink it all together?
62,62: Pumpkins and Penguins (and Fiddles),How do I go about my secret fiddle long con?
62,62: Pumpkins and Penguins (and Fiddles),Why do almost all zippers have the letters YKK on them?
62,62: Pumpkins and Penguins (and Fiddles),Do bugs ever have a destination in mind when they walk around aimlessly?
63,63: World Queen,"What do I do while people are singing ""Happy Birthday""?"
63,63: World Queen,What are mushrooms even?
63,63: World Queen,Is it okay to want people to not be wrong?
64,64: Really Terrible Scandinavian Geography Lessons,Why won't people accept my tissues?
64,64: Really Terrible Scandinavian Geography Lessons,Should half-wolf children be vaccinated?
64,64: Really Terrible Scandinavian Geography Lessons,What do I do when I see a stranger crying in public?
65,65: But... You're a Horse,Should we fear a locust apocalypse?
65,65: But... You're a Horse,Will listening to Japanese while I sleep help me remember it?
65,65: But... You're a Horse,"How do I remain confident in my art around older, more experienced artists?"
66,66: A Great Bit of Oratory,How do I keep enjoying music I enjoyed with an ex?
66,66: A Great Bit of Oratory,How do I recover from being doused in bull semen?
66,66: A Great Bit of Oratory,What are my responsibilities when people ask me to watch their stuff?
67,67: Feeling Home,Should I ghost out of my job?
67,67: Feeling Home,Are bubble baths a hobby or an interest?
67,67: Feeling Home,How do I not feel like a forever foreigner?
68,68: Gaga in Space (w/ Tyler Oakley!),Are quesadillas sandwiches?
68,68: Gaga in Space (w/ Tyler Oakley!),What is the ideal OK Cupid match percentage?
68,68: Gaga in Space (w/ Tyler Oakley!),How much of another person's food am I allowed to consume?
69,69: Live from NerdCon: Stories (w/ Karen Hallion!),Who is the foxiest founding father?
69,69: Live from NerdCon: Stories (w/ Karen Hallion!),How do I convince my boyfriend to not go to Mars?
69,69: Live from NerdCon: Stories (w/ Karen Hallion!),Is all my sister's stuff mine now?
70,70: The Rhythmic Thud of the Space Bar (w/ Ashley Ford!),How do we move forward post-Election Day?
70,70: The Rhythmic Thud of the Space Bar (w/ Ashley Ford!),How do you know when/if to have kids?
70,70: The Rhythmic Thud of the Space Bar (w/ Ashley Ford!),Why does the space bar sound like that?
71,71: Only Pause for Applause (w/ Hannah Hart!),"Help, I can't tell my roommates apart! What if my relationship has an expiry date?"
71,71: Only Pause for Applause (w/ Hannah Hart!),How much reflection should you do after finishing a book?
72,72: Planet Dirt (Hank Returns!),Is Die Hard a Christmas movie?
72,72: Planet Dirt (Hank Returns!),Should I tell my mom about my risky plans?
72,72: Planet Dirt (Hank Returns!),What is the tipping point for apocalypse chaos?
73,"73: Planes, Trains, and Automosqueals",What do you do if you're lost in the forest?
73,"73: Planes, Trains, and Automosqueals",Is Santa subject to trademark laws?
73,"73: Planes, Trains, and Automosqueals",Should I take a boring job for money?
74,74: The Kindness Muscle,How do I deal with finals stress?
74,74: The Kindness Muscle,What building would you haunt?
74,74: The Kindness Muscle,How do I teach my kid not to bully?
75,75: The Nutrient Coconut Milk of Sin (w/ Katherine Green!),Who does my cat think I am?
75,75: The Nutrient Coconut Milk of Sin (w/ Katherine Green!),Is listening to music a waste of time?
75,75: The Nutrient Coconut Milk of Sin (w/ Katherine Green!),Should we get a new coconut?
77,"77: Save Us, Giant Octopus",Should you always imagine people complexly?
77,"77: Save Us, Giant Octopus",Would constellations be different on Mars?
77,"77: Save Us, Giant Octopus",How many trees would you have to plant to offset your carbon footprint?
78,78: Being Sure,How do I stop catfishing someone?
78,78: Being Sure,How do I not feel embarrassed sharing my writing?
78,78: Being Sure,Should I DIY my shirt?
79,79: Tiny Useless Pelvises (That Are Still There),How nice do you have to be at the grocery store?
79,79: Tiny Useless Pelvises (That Are Still There),How do we know humans didn't come from Mars?
79,79: Tiny Useless Pelvises (That Are Still There),What is sound even?
80,80: Life Is Hard and Also Has Good Things,What are the top ten kinds of spoons?
80,80: Life Is Hard and Also Has Good Things,Why do boys kiss like dying fish?
80,80: Life Is Hard and Also Has Good Things,What would happen if we lost gravity for fifteen seconds?
81,81: Always Making Progress Forever,Can you separate the artist from the work?
81,81: Always Making Progress Forever,How do bugs survive microwaves?
81,81: Always Making Progress Forever,Will we ever be a perfectly unified planet?
82,82: Where There Was Previously Nothing,How long until everyone is related to Beyoncé?
82,82: Where There Was Previously Nothing,When does parenting stop sucking?
82,82: Where There Was Previously Nothing,How can I help the world without being rich?
83,83: There's No Rock and Roll on Mars,Is the Big Bang really a thing?
83,83: There's No Rock and Roll on Mars,Does the driver or the passenger get to pick the music?
83,83: There's No Rock and Roll on Mars,What if someone gets pregnant on Mars?
84,84: Live from NerdCon: Nerdfighteria!,Where are all the fireflies?
84,84: Live from NerdCon: Nerdfighteria!,"What is ""the spark""?"
84,84: Live from NerdCon: Nerdfighteria!,Was Alexander Hamilton or Sirius Black a bigger drama queen?
85,"85: Stay Gold, Potaterson",What should my motto be?
85,"85: Stay Gold, Potaterson",What vegetable is happiness?
85,"85: Stay Gold, Potaterson",When is enough really enough?
86,86: This Week in Ryans,Do taller people have bigger organs?
86,86: This Week in Ryans,Are more expensive clothes actually better?
86,86: This Week in Ryans,"Is there a secular way to say you're ""praying"" for someone?"
87,87: The Future Is Gonna Rule,How do I develop a cool signature?
87,87: The Future Is Gonna Rule,How do I tell my dad I've been hiding a snake for several months?
87,87: The Future Is Gonna Rule,Is it acceptable to shout advice at strangers?
88,88: Hank's Profound Graduation Speech,Why do rich people like golf so much?
88,88: Hank's Profound Graduation Speech,What color is the sky on Mars?
88,88: Hank's Profound Graduation Speech,How much do I need to fact-check news before I share it?
88,88: Hank's Profound Graduation Speech,Where are bird ears?
88,88: Hank's Profound Graduation Speech,?
88,88: Hank's Profound Graduation Speech,?
89,89: A Rich Guy with an Affinity for Bats,Is Batman a superhero?
89,89: A Rich Guy with an Affinity for Bats,How do I claim an island as my own?
89,89: A Rich Guy with an Affinity for Bats,"Is there a ""no politics"" rule in dating?"
90,90: Glitter Soul,Are you really in the clear with liquor before beer?
90,90: Glitter Soul,Should I embrace the error on my birth certificate?
90,90: Glitter Soul,Does it really matter where I go to college?
91,91: Everything Is Everything (w/ Mayim Bialik!),Why do I like the smell of gasoline?
91,91: Everything Is Everything (w/ Mayim Bialik!),What should I do about my racist boss?
91,91: Everything Is Everything (w/ Mayim Bialik!),What is the clothes fastener technology in Star Wars?
92,92: Cewebrity,Should I contact the guy who owns the plane on which I was born?
92,92: Cewebrity,Are art and content different?
92,92: Cewebrity,Does it matter that the guy I'm dating has a six pack while I eat a lot of tacos?
93,93: Nothing Fits on a Bumper Sticker,Can a writer mess with science for poetic purposes?
93,93: Nothing Fits on a Bumper Sticker,"If you enjoy Narnia, would you enjoy The Fountainhead?"
93,93: Nothing Fits on a Bumper Sticker,Is there a right social construct to teach?
94,94: Pocket Conspiracy Theories (w/ Matthew Gaydos!),Is Hank a reptilian-human hybrid?
94,94: Pocket Conspiracy Theories (w/ Matthew Gaydos!),How do I grieve and also be there for my students?
94,94: Pocket Conspiracy Theories (w/ Matthew Gaydos!),What do you do when you do something terrible by accident?
95,95: Lawn Care Vigilantism,What should my fun fact about me be?
95,95: Lawn Care Vigilantism,How do Christians and non-Christians get along?
95,95: Lawn Care Vigilantism,Am I too old to listen to this podcast?
96,96: Next Level Laziness,"If you put in work to be lazy, is it still laziness?"
96,96: Next Level Laziness,Does Lin Manuel Miranda listen to Hamilton for funzies?
96,96: Next Level Laziness,At what point are you supposed to put water on a toothbrush?
97,97: Lemon Salty Whales,When should I introduce my kid to Star Wars?
97,97: Lemon Salty Whales,Can I dislike parts of my life even though I have privilege?
97,97: Lemon Salty Whales,How did humans start swimming?
98,98: An Army of Burrito Children (w/ Dodie Clark!),How do you deal with the dissipation of your future plans?
98,98: An Army of Burrito Children (w/ Dodie Clark!),Should I tell my parents I met my boyfriend on Tinder?
98,98: An Army of Burrito Children (w/ Dodie Clark!),How do I succeed if I'm not a go-getter?
99,99: A Fusing of the Hair,What do I do if my spouse wants to shave his head?
99,99: A Fusing of the Hair,Why are there birds at the airport?
99,99: A Fusing of the Hair,What if I'm not as well read as my boyfriend?
100,100th Episode Extravaganza Spectacular!!!,Who was the first joshing Josh?
100,100th Episode Extravaganza Spectacular!!!,Do bugs understand glass?
100,100th Episode Extravaganza Spectacular!!!,How do I learn to chill?
101,101: Knit like a Mofo,What would happen if all mosquitoes die?
101,101: Knit like a Mofo,What do I do about my surprise YouTube celebrity boyfriend?
101,101: Knit like a Mofo,"What's the truth about John Lennon's ""Imagine""?"
102,102: The Friend Bucket,Could you take down a coyote with your arms?
102,102: The Friend Bucket,Should people be allowed to put things in someone else's Netflix queue?
102,102: The Friend Bucket,How do I cope with social anxiety?
103,103: There Are No Boxes (w/ Gaby Dunn!),What is a mug without a handle?
103,103: There Are No Boxes (w/ Gaby Dunn!),When's the right time to get a Saturn tattoo?
103,103: There Are No Boxes (w/ Gaby Dunn!),Should I come out when I'm not ready?
104,104: Dove Quivering,Why am I afraid of something I know doesn’t exist?
104,104: Dove Quivering,Can I avoid scurvy by sticking my arm in a giant vat of orange juice?
104,104: Dove Quivering,What is proper etiquette for a cat birthday party?
105,105: Fancy Diving,Is cake salty?
105,105: Fancy Diving,How do I get alone time at a party without a cigarette?
105,105: Fancy Diving,Where is the rest of An Imperial Affliction?
106,106: Cannibal Mermaids,How far can you get making only right turns?
106,106: Cannibal Mermaids,What's the proper response to being constantly serenaded?
106,106: Cannibal Mermaids,Does fire have mass?
107,107: skREvEL!,Why do I feel safer with the lights on?
107,107: skREvEL!,Why can't my bathtub be in my living room?
107,107: skREvEL!,Am I in danger of being electrocuted?
108,108: We Would All Be Flounders,What do I say to my blind date?
108,108: We Would All Be Flounders,How do I get my mom to call me less frequently?
108,108: We Would All Be Flounders,Are you supposed to ask a father for his daughter's hand in marriage?
109,109: The Catastrophizing Kindergarten Teacher,How do I stop whistling?
109,109: The Catastrophizing Kindergarten Teacher,How do you not get burned out?
109,109: The Catastrophizing Kindergarten Teacher,How do I get rid of a death zit?
110,110: One and Less Extra Bone,Where does all the extra body come from?
110,110: One and Less Extra Bone,Why are grapefruits called grapefruits?
110,110: One and Less Extra Bone,Is it acceptable to talk about social media in real life?
111,111: Omagles All the Way Down,How do I get in on my neighbor's cranberry bread?
111,111: Omagles All the Way Down,How do I live in a very small room?
111,111: Omagles All the Way Down,Who's responsible for the divider in a checkout line?
112,112: Toaster Is a Wolf to Dog,Where does candle wax go?
112,112: Toaster Is a Wolf to Dog,Can you just switch where you're sitting one day?
112,112: Toaster Is a Wolf to Dog,"Does saying ""I love you"" eventually lose its meaning?"
113,113: Aardvarks with Guns,Is outer space full of vampires?
113,113: Aardvarks with Guns,Am I engaged?
113,113: Aardvarks with Guns,Why haven't our mouths evolved to be better at pumpkin spice lattes?
114,114: Confused About Batman,"Over the last month, Hank and John have been on the road going to cities all across America. Every stop, they did a short episode of Dear Hank and John, and some of those got recorded. Then Hank edited some of the best of those moments into this podcast. How do I promote my guinea pig's Instagram?"
114,114: Confused About Batman,Is it cold in space?
114,114: Confused About Batman,When did you first feel successful?
115,115: Semi-Immortal 35-Year-Olds on Mars,What is the smallest part of the body you can be a doctor in?
115,115: Semi-Immortal 35-Year-Olds on Mars,Why do we rub our eyes when we're tired?
115,115: Semi-Immortal 35-Year-Olds on Mars,How do I turn my imagination off long enough to sleep?
116,116: Do Not Enter the Craft Fort! (w/ Caitlin Hofmeister!),How do you surprise loved ones in small apartments?
116,116: Do Not Enter the Craft Fort! (w/ Caitlin Hofmeister!),What is the line between archaeology and grave robbing?
116,116: Do Not Enter the Craft Fort! (w/ Caitlin Hofmeister!),What is the appropriate time to get into the Christmas season?
117,117: Lightsaber Your Tiny House (w/ Katherine Green!),What do you do with cereal dust?
117,117: Lightsaber Your Tiny House (w/ Katherine Green!),What happens if kid doesn't like dog?
117,117: Lightsaber Your Tiny House (w/ Katherine Green!),How did cave people cut their fingernails?
118,118: Heavy Baby Bib! (w/ Alex Goldman!),What counts as significant change?
118,118: Heavy Baby Bib! (w/ Alex Goldman!),How do you know who you're supposed to buy presents for?
118,118: Heavy Baby Bib! (w/ Alex Goldman!),Is it weird to let someone know you're thinking of them?
119,119: Water Is Dry (w/ Greg Miller!),Why don't I have a lifelong friend?
119,119: Water Is Dry (w/ Greg Miller!),How can I become ruler of everyone with my name?
119,119: Water Is Dry (w/ Greg Miller!),What are snails trying to flee?
119,119: Water Is Dry (w/ Greg Miller!),?
120,120: Snake Cuddle Time,How do I memorize all the birds?
120,120: Snake Cuddle Time,Should I join the Navy?
120,120: Snake Cuddle Time,How do you eat trail mix?
121,121: Every Plum Has Its Thorn,What is the point of love if it always ends?
121,121: Every Plum Has Its Thorn,How do I scream?
121,121: Every Plum Has Its Thorn,How do I stop a surprise avian ring delivery?
122,122: The Last Brand Deal,Am I too young to be self-supervised?
122,122: The Last Brand Deal,Can I throw away my dead grandmother's sponges?
122,122: The Last Brand Deal,How do I make a personal retirement PowerPoint for Rick?
123,123: The Incredible Glamorous Hulk,How do fish get into lakes?
123,123: The Incredible Glamorous Hulk,How do I stay aware of things without giving them views?
123,123: The Incredible Glamorous Hulk,Do aliens communicate with sign language?
124,124: Liars and Litterers and Thieves,Can I hoard stolen goods?
124,124: Liars and Litterers and Thieves,How do I make sure I don't become a racist?
124,124: Liars and Litterers and Thieves,How do I get cookies?
125,125: Book Hangovers (w/ Sarah Urist Green!),How do people love reading when it hurts?
125,125: Book Hangovers (w/ Sarah Urist Green!),How do you make friends in art class?
125,125: Book Hangovers (w/ Sarah Urist Green!),How do you proceed after accidentally slow dancing with someone?
126,126: The Space Alien Orange Peel Health Craze,Should I spend prom at Target or break up my friends?
126,126: The Space Alien Orange Peel Health Craze,How does Legolas never run out of arrows?
126,126: The Space Alien Orange Peel Health Craze,What would happen if all plants ceased to exist?
127,127: How to Befriend a Crow,Should I follow my dreams of having strange animal friends?
127,127: How to Befriend a Crow,What would happen if I pee in this humidifier?
127,127: How to Befriend a Crow,Is it disrespectful to look at someone while they yawn?
128,128: AARTcoin,Are hitchhiker ants okay?
128,128: AARTcoin,How do I tell my parents I want to study economics?
128,128: AARTcoin,Who is responsible for calling back after a dropped call?
129,129: The Worst Guest Books,Am I not invited to my aunt's wedding?
129,129: The Worst Guest Books,Do I tell my friend I clogged their toilet?
129,129: The Worst Guest Books,Is there an Olympic Hall of Urine?
130,130: The LaCroix Boix,How much sand is there?
130,130: The LaCroix Boix,How do I unfriend the murder?
130,130: The LaCroix Boix,How does one finance baby?
131,131: Space War Fears,How do I handle the surprise baby hamsters?
131,131: Space War Fears,Can I take things from someone else's shopping cart?
131,131: Space War Fears,Are we all gonna die in a space war?
132,132: Schrödinger's Floor,Why do we need constant mental stimuli?
132,132: Schrödinger's Floor,How do I clean my room?
132,132: Schrödinger's Floor,Can I still be friends with my ex's family?
133,133: Fork Bouquet,What should I do with all these plastic forks?
133,133: Fork Bouquet,At what age do you grow out of regret?
133,133: Fork Bouquet,Do ants sleep?
134,134: The Millennial Avocadome,Are rocks actually soft?
134,134: The Millennial Avocadome,What are Pop-Tarts?
134,134: The Millennial Avocadome,My boyfriend's ex is dating my ex?
134,134: The Millennial Avocadome,?
134,134: The Millennial Avocadome,?
135,135: Danger Noodles and Little Boops (w/ Emily Graslie!),How do you throw away a trash can?
135,135: Danger Noodles and Little Boops (w/ Emily Graslie!),Which animals have the most awkward adolescent phase?
135,135: Danger Noodles and Little Boops (w/ Emily Graslie!),Are humans an invasive species?
136,136: Wake Up Canadian,What should I wear to Hamilton?
136,136: Wake Up Canadian,"If you work a four-day week, do you still get a hump day?"
136,136: Wake Up Canadian,Are books a distorted mirror?
137,137: Manhole & Me,Why am I in Seattle?
137,137: Manhole & Me,Why are bricks stacked that way in walls?
137,137: Manhole & Me,Is nihilism hilarious?
138,138: Snappy the T. rex,Do dead bodies get sunburned?
138,138: Snappy the T. rex,How do you science a baby?
138,138: Snappy the T. rex,Who were the first fans?
139,139: What If the Moon Was One of Us,What should I spend my birthday money on?
139,139: What If the Moon Was One of Us,Is hope a dinosaur?
139,139: What If the Moon Was One of Us,What do I do with 23 plastic molds of my teeth?
140,140: The Spoon in the Road,How often should I try new food places?
140,140: The Spoon in the Road,How do you break up with someone without crushing them?
140,140: The Spoon in the Road,What's the best way to greet a new neighbor?
141,141: Gretel's Instagram Regrets (w/ How to ADHD!),Am I accidentally a horrible person?
141,141: Gretel's Instagram Regrets (w/ How to ADHD!),"What should I do with 1,000 business cards?"
141,141: Gretel's Instagram Regrets (w/ How to ADHD!),How do I not break my grandmother's heart?
142,142: Don't Harsh on My Yums,Why do people like ant colonies?
142,142: Don't Harsh on My Yums,What do I do about customers who come in right before close?
142,142: Don't Harsh on My Yums,Where do bugs go when it rains?
143,143: Eleven Peas,Are there any good billionaires?
143,143: Eleven Peas,How do I get better at contracts?
143,143: Eleven Peas,What are the rules of doctor-patient small talk?
144,"144: Great, Robust Berries (w/ Jenny Lawson!)",What is your innocuous life curse?
144,"144: Great, Robust Berries (w/ Jenny Lawson!)",What should I read when I've outgrown YA?
144,"144: Great, Robust Berries (w/ Jenny Lawson!)",How do I survive without my coping mechanism?
